序号,代码,名称
"720","T001300697","石吊兰"
"721","T001300741","天竺黄"
"722","T001300743","葶苈子"
"723","T001300751","瓦楞子"
"724","T001300786","鲜竹沥"
"725","T001300806","旋覆花"
"726","T001300822","洋金花"
"727","T001300842","野马追"
"728","T001300849","银杏叶"
"729","T001300874","浙贝母"
"730","T001300879","制白附子"
"731","T001300893","制天南星"
"732","T001300901","钟乳石"
"733","T001300906","竹茹"
"734","T001300911","猪牙皂"
"735","T001300916","紫花前胡"
"736","T001300923","紫菀"
"737","T001301390","暴马子皮"
"738","T001301926","胡颓子叶"
"739","T001301970","牡荆叶"
"740","T001302062","半夏曲"
"741","T001302525","姜水半夏"
"742","T001302919","通关藤"
"743","T001400032","柏子仁"
"744","T001400033","柏子仁霜"
"745","T001400105","炒酸枣仁"
"746","T001400136","磁石"
"747","T001400176","胆南星"
"748","T001400210","煅磁石"
"749","T001400213","煅金礞石"
"750","T001400216","煅青礞石"
"751","T001400227","煅紫石英"
"752","T001400307","广枣"
"753","T001400334","合欢花"
"754","T001400335","合欢皮"
"755","T001400387","琥珀"
"756","T001400425","金精石"
"757","T001400485","莨菪子"
"758","T001400494","莲子心"
"759","T001400497","灵砂"
"760","T001400501","灵芝"
"761","T001400505","龙齿"
"762","T001400507","龙骨"
"763","T001400528","马宝"
"764","T001400648","蕤仁"
"765","T001400663","珊瑚"
"766","T001400708","首乌藤"
"767","T001400719","酸枣仁"
"768","T001400740","天仙子"
"769","T001400857","远志"
"770","T001400875","珍珠"
"771","T001400876","珍珠粉"
"772","T001400897","制远志"
"773","T001400907","朱砂粉"
"774","T001400919","紫石英"
"775","T001401300","煅龙骨"
"776","T001401851","蜜远志"
"777","T001402668","炒柏子仁"
"778","T001500089","炒僵蚕"
"779","T001500091","炒蒺藜"
"780","T001500167","玳瑁"
"781","T001500198","地龙"
"782","T001500218","煅石决明"
"783","T001500223","煅珍珠母"
"784","T001500224","煅赭石"
"785","T001500292","枸骨叶"
"786","T001500295","钩藤"
"787","T001500391","僵蚕"
"788","T001500412","蒺藜"
"789","T001500452","酒蛇蜕"
"790","T001500499","羚羊角镑片"
"791","T001500500","羚羊角粉"
"792","T001500520","罗布麻叶"
"793","T001500563","明党参"
"794","T001500581","牡蛎"
"795","T001500596","牛黄"
"796","T001500639","全蝎"
"797","T001500642","人工牛黄"
"798","T001500692","蛇蜕"
"799","T001500699","石决明"
"800","T001500713","水牛角"
"801","T001500736","天麻"
"802","T001500760","蜈蚣"
"803","T001500800","熊胆粉"
"804","T001500877","珍珠母"
"805","T001500878","赭石"
"806","T001500913","紫贝齿"
"807","T001505302","培植牛黄"
"808","T001600002","艾片（左旋龙脑）"
"809","T001600004","安息香"
"810","T001600056","冰片(合成龙脑）"
"811","T001600071","蟾酥粉"
"812","T001600187","大皂角"
"813","T001600447","九节菖蒲"
"814","T001600693","麝香"
"815","T001600695","石菖蒲"
"816","T001600720","苏合香"
"817","T001600737","天然冰片（右旋龙脑）"
"818","T001700007","白扁豆"
"819","T001700012","百合"
"820","T001700023","白芍"
"821","T001700024","白糖参"
"822","T001700031","白术"
"823","T001700036","巴戟肉"
"824","T001700037","巴戟天"
"825","T001700047","北沙参"
"826","T001700048","扁豆花"
"827","T001700052","鳖甲"
"828","T001700053","鳖甲胶"
"829","T001700058","补骨脂"
"830","T001700074","炒白扁豆"
"831","T001700076","炒白芍"
"832","T001700085","炒黑芝麻"
"833","T001700109","朝鲜红参"
"834","T001700135","楮实子"
"835","T001700138","刺五加"
"836","T001700139","葱子"
"837","T001700142","醋鳖甲"
"838","T001700145","醋龟甲"
"839","T001700173","当归"
"840","T001700174","党参片"
"841","T001700186","大枣"
"842","T001700203","冬虫夏草"
"843","T001700225","煅钟乳石"
"844","T001700230","杜仲"
"845","T001700231","杜仲叶"
"846","T001700233","阿胶"
"847","T001700234","阿胶珠"
"848","T001700249","蜂胶"
"849","T001700251","蜂蜜"
"850","T001700257","麸炒白术"
"851","T001700261","麸炒山药"
"852","T001700276","甘草片"
"853","T001700280","干石斛"
"854","T001700288","蛤蚧"
"855","T001700294","枸杞子"
"856","T001700310","管花肉苁蓉片"
"857","T001700313","龟板"
"858","T001700314","龟板胶"
"859","T001700315","龟甲"
"860","T001700316","龟甲胶"
"861","T001700318","龟鹿二仙胶"
"862","T001700326","海龙"
"863","T001700327","海马"
"864","T001700331","哈蟆油"
"865","T001700332","旱莲草"
"866","T001700338","黑芝麻"
"867","T001700341","核桃仁"
"868","T001700351","红景天"
"869","T001700353","红参"
"870","T001700354","红参片"
"871","T001700366","黄精"
"872","T001700368","黄芪"
"873","T001700384","胡芦巴"
"874","T001700388","胡桃仁"
"875","T001700435","酒白芍"
"876","T001700437","韭菜子"
"877","T001700439","酒苁蓉"
"878","T001700441","酒当归"
"879","T001700443","酒蛤蚧"
"880","T001700444","酒黄精"
"881","T001700450","酒女贞子"
"882","T001700456","酒续断"
"883","T001700458","酒制蜂胶"
"884","T001700483","蓝布正"
"885","T001700510","龙眼肉"
"886","T001700516","鹿角"
"887","T001700517","鹿角胶"
"888","T001700518","鹿角霜"
"889","T001700524","鹿茸粉"
"890","T001700525","鹿茸片"
"891","T001700535","麦冬"
"892","T001700554","蜜百合"
"893","T001700557","米炒党参"
"894","T001700577","母丁香"
"895","T001700590","南沙参"
"896","T001700599","女贞子"
"897","T001700643","人参片"
"898","T001700644","人参叶"
"899","T001700645","肉苁蓉片"
"900","T001700647","肉桂"
"901","T001700654","桑椹"
"902","T001700660","沙棘"
"903","T001700664","山麦冬"
"904","T001700667","山药"
"905","T001700668","山药片"
"906","T001700673","沙苑子"
"907","T001700710","熟地黄"
"908","T001700723","锁阳"
"909","T001700724","太子参"
"910","T001700731","天冬"
"911","T001700742","铁皮石斛"
"912","T001700750","菟丝子"
"913","T001700768","巫山淫羊藿"
"914","T001700782","仙茅"
"915","T001700783","鲜石斛"
"916","T001700805","西洋参"
"917","T001700810","续断片"
"918","T001700818","盐巴戟天"
"919","T001700819","盐补骨脂"
"920","T001700821","盐杜仲"
"921","T001700823","阳起石"
"922","T001700826","盐胡芦巴"
"923","T001700828","盐韭菜子"
"924","T001700830","盐沙苑子"
"925","T001700833","盐菟丝子"
"926","T001700834","燕窝"
"927","T001700836","盐续断"
"928","T001700844","野山参"
"929","T001700848","阴起石"
"930","T001700850","淫羊藿"
"931","T001700851","移山参"
"932","T001700869","玉竹"
"933","T001700880","制巴戟天"
"934","T001700883","炙甘草"
